symbol,security_id,expiry,strike,exchange
NATIONALUM-Jun2025-FUT,57063,,,NSE
NAUKRI-Jun2025-FUT,57064,,,NSE
NBCC-Jun2025-FUT,57065,,,NSE
NCC-Jun2025-FUT,57066,,,NSE
NESTLEIND-Jun2025-FUT,57067,,,NSE
NHPC-Jun2025-FUT,57068,,,NSE
NMDC-Jun2025-FUT,57069,,,NSE
NTPC-Jun2025-FUT,57070,,,NSE
NYKAA-Jun2025-FUT,57071,,,NSE
OBEROIRLTY-Jun2025-FUT,57072,,,NSE
OFSS-Jun2025-FUT,57073,,,NSE
OIL-Jun2025-FUT,57074,,,NSE
ONGC-Jun2025-FUT,57075,,,NSE
PAGEIND-Jun2025-FUT,57077,,,NSE
PATANJALI-Jun2025-FUT,57079,,,NSE
PAYTM-Jun2025-FUT,57080,,,NSE
PEL-Jun2025-FUT,57081,,,NSE
PERSISTENT-Jun2025-FUT,57082,,,NSE
PETRONET-Jun2025-FUT,57083,,,NSE
PFC-Jun2025-FUT,57084,,,NSE
PHOENIXLTD-Jun2025-FUT,57085,,,NSE
PIDILITIND-Jun2025-FUT,57086,,,NSE
PIIND-Jun2025-FUT,57087,,,NSE
PNB-Jun2025-FUT,57088,,,NSE
PNBHOUSING-Jun2025-FUT,57091,,,NSE
POLICYBZR-Jun2025-FUT,57092,,,NSE
POLYCAB-Jun2025-FUT,57093,,,NSE
POONAWALLA-Jun2025-FUT,57094,,,NSE
POWERGRID-Jun2025-FUT,57095,,,NSE
PRESTIGE-Jun2025-FUT,57100,,,NSE
RBLBANK-Jun2025-FUT,57101,,,NSE
RECLTD-Jun2025-FUT,57104,,,NSE
RELIANCE-Jun2025-FUT,57105,,,NSE
SAIL-Jun2025-FUT,57110,,,NSE
SBICARD-Jun2025-FUT,57111,,,NSE
SBILIFE-Jun2025-FUT,57112,,,NSE
SBIN-Jun2025-FUT,57113,,,NSE
SHREECEM-Jun2025-FUT,57114,,,NSE
SHRIRAMFIN-Jun2025-FUT,57115,,,NSE
SIEMENS-Jun2025-FUT,57120,,,NSE
SJVN-Jun2025-FUT,57121,,,NSE
SOLARINDS-Jun2025-FUT,57122,,,NSE
SONACOMS-Jun2025-FUT,57123,,,NSE
SRF-Jun2025-FUT,57128,,,NSE
SUNPHARMA-Jun2025-FUT,57129,,,NSE
SUPREMEIND-Jun2025-FUT,57200,,,NSE
SYNGENE-Jun2025-FUT,57201,,,NSE
TATACHEM-Jun2025-FUT,57222,,,NSE
TATACOMM-Jun2025-FUT,57223,,,NSE
TATACONSUM-Jun2025-FUT,57224,,,NSE
TATAELXSI-Jun2025-FUT,57225,,,NSE
TATAMOTORS-Jun2025-FUT,57238,,,NSE
TATAPOWER-Jun2025-FUT,57239,,,NSE
TATASTEEL-Jun2025-FUT,57248,,,NSE
TATATECH-Jun2025-FUT,57249,,,NSE
TCS-Jun2025-FUT,57250,,,NSE
TECHM-Jun2025-FUT,57251,,,NSE
TIINDIA-Jun2025-FUT,57252,,,NSE
TITAGARH-Jun2025-FUT,57253,,,NSE
TITAN-Jun2025-FUT,57254,,,NSE
TORNTPHARM-Jun2025-FUT,57255,,,NSE
TORNTPOWER-Jun2025-FUT,57256,,,NSE
TRENT-Jun2025-FUT,57257,,,NSE
TVSMOTOR-Jun2025-FUT,57258,,,NSE
ULTRACEMCO-Jun2025-FUT,57261,,,NSE
UNIONBANK-Jun2025-FUT,57262,,,NSE
UNITDSPR-Jun2025-FUT,57263,,,NSE
UPL-Jun2025-FUT,57264,,,NSE
VBL-Jun2025-FUT,57273,,,NSE
VEDL-Jun2025-FUT,57274,,,NSE
VOLTAS-Jun2025-FUT,57275,,,NSE
WIPRO-Jun2025-FUT,57276,,,NSE
YESBANK-Jun2025-FUT,57277,,,NSE
ETERNAL-Jun2025-FUT,57278,,,NSE
ZYDUSLIFE-Jun2025-FUT,57283,,,NSE
BANKNIFTY-Aug2025-FUT,64100,,,NSE
FINNIFTY-Aug2025-FUT,64101,,,NSE
MIDCPNIFTY-Aug2025-FUT,64102,,,NSE
NIFTY-Aug2025-FUT,64103,,,NSE
NIFTYNXT50-Aug2025-FUT,64104,,,NSE
ABB-Aug2025-FUT,64105,,,NSE
ABCAPITAL-Aug2025-FUT,64106,,,NSE
ABFRL-Aug2025-FUT,64107,,,NSE
ADANIENSOL-Aug2025-FUT,64108,,,NSE
ADANIENT-Aug2025-FUT,64109,,,NSE
ADANIGREEN-Aug2025-FUT,64110,,,NSE
ADANIPORTS-Aug2025-FUT,64111,,,NSE
ALKEM-Aug2025-FUT,64112,,,NSE
AMBUJACEM-Aug2025-FUT,64113,,,NSE
ANGELONE-Aug2025-FUT,64114,,,NSE
APLAPOLLO-Aug2025-FUT,64115,,,NSE
APOLLOHOSP-Aug2025-FUT,64116,,,NSE
ASHOKLEY-Aug2025-FUT,64117,,,NSE
ASIANPAINT-Aug2025-FUT,64118,,,NSE
ASTRAL-Aug2025-FUT,64119,,,NSE
ATGL-Aug2025-FUT,64120,,,NSE
AUBANK-Aug2025-FUT,64121,,,NSE
AUROPHARMA-Aug2025-FUT,64206,,,NSE
AXISBANK-Aug2025-FUT,64207,,,NSE
BAJAJ-AUTO-Aug2025-FUT,64217,,,NSE
BAJAJFINSV-Aug2025-FUT,64219,,,NSE
BAJFINANCE-Aug2025-FUT,64220,,,NSE
BANDHANBNK-Aug2025-FUT,64221,,,NSE
BANKBARODA-Aug2025-FUT,64222,,,NSE
BANKINDIA-Aug2025-FUT,64223,,,NSE
BDL-Jun2025-FUT,64224,,,NSE
BDL-Jul2025-FUT,64225,,,NSE
BDL-Aug2025-FUT,64226,,,NSE
BEL-Aug2025-FUT,64227,,,NSE
BHARATFORG-Aug2025-FUT,64228,,,NSE
BHARTIARTL-Aug2025-FUT,64229,,,NSE
BHEL-Aug2025-FUT,64230,,,NSE
BIOCON-Aug2025-FUT,64231,,,NSE
BLUESTARCO-Jun2025-FUT,64232,,,NSE
BLUESTARCO-Jul2025-FUT,64233,,,NSE
BLUESTARCO-Aug2025-FUT,64248,,,NSE
BOSCHLTD-Aug2025-FUT,64249,,,NSE
BPCL-Aug2025-FUT,64372,,,NSE
BRITANNIA-Aug2025-FUT,64373,,,NSE
BSE-Aug2025-FUT,64378,,,NSE
CAMS-Aug2025-FUT,64379,,,NSE
CANBK-Aug2025-FUT,64380,,,NSE
CDSL-Aug2025-FUT,64381,,,NSE
CESC-Aug2025-FUT,64382,,,NSE
CGPOWER-Aug2025-FUT,64383,,,NSE
CHOLAFIN-Aug2025-FUT,64387,,,NSE
CIPLA-Aug2025-FUT,64388,,,NSE
COALINDIA-Aug2025-FUT,64390,,,NSE
COFORGE-Aug2025-FUT,64391,,,NSE
COLPAL-Aug2025-FUT,64392,,,NSE
CONCOR-Aug2025-FUT,64393,,,NSE
CROMPTON-Aug2025-FUT,64394,,,NSE
CUMMINSIND-Aug2025-FUT,64395,,,NSE
CYIENT-Aug2025-FUT,64396,,,NSE
DABUR-Aug2025-FUT,64397,,,NSE
DALBHARAT-Aug2025-FUT,64398,,,NSE
DELHIVERY-Aug2025-FUT,64399,,,NSE
DIVISLAB-Aug2025-FUT,64400,,,NSE
DIXON-Aug2025-FUT,64401,,,NSE
DLF-Aug2025-FUT,64402,,,NSE
DMART-Aug2025-FUT,64403,,,NSE
DRREDDY-Aug2025-FUT,64404,,,NSE
EICHERMOT-Aug2025-FUT,64405,,,NSE
ETERNAL-Aug2025-FUT,64407,,,NSE
EXIDEIND-Aug2025-FUT,64409,,,NSE
FEDERALBNK-Aug2025-FUT,64410,,,NSE
FORTIS-Jun2025-FUT,64411,,,NSE
FORTIS-Jul2025-FUT,64412,,,NSE
FORTIS-Aug2025-FUT,64413,,,NSE
GAIL-Aug2025-FUT,64414,,,NSE
GLENMARK-Aug2025-FUT,64415,,,NSE
GMRAIRPORT-Aug2025-FUT,64416,,,NSE
GODREJCP-Aug2025-FUT,64417,,,NSE
GODREJPROP-Aug2025-FUT,64418,,,NSE
GRANULES-Aug2025-FUT,64419,,,NSE
GRASIM-Aug2025-FUT,64420,,,NSE
HAL-Aug2025-FUT,64421,,,NSE
HAVELLS-Aug2025-FUT,64422,,,NSE
HCLTECH-Aug2025-FUT,64423,,,NSE
HDFCAMC-Aug2025-FUT,64424,,,NSE
HDFCBANK-Aug2025-FUT,64425,,,NSE
